Nrate,Variety,MAT,MAP,SOC,TN,Irrigation,Deep,Dressing,Manure,Tillage,Straw,EFFs,Cultivation,wheat_type,Yield,N_surplus
120,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,6.98 ,-48.65 
180,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,7.28 ,2.77 
240,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,7.26 ,63.34 
300,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,6.62 ,141.65 
120,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,7.14 ,-53.22 
180,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,7.75 ,-10.67 
240,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,7.34 ,61.06 
300,2,13.26 ,685.60 ,6.97 ,1.37 ,2,1,2,0,1,2,1,1,2,6.88 ,134.21 
241.5,2,7.68 ,170.30 ,9.14 ,0.99 ,1,1,1,0,1,2,1,1,1,6.72 ,5.80 
204,2,7.68 ,170.10 ,9.14 ,0.99 ,1,1,1,0,1,2,1,1,1,6.81 ,-39.80 
166.5,2,7.68 ,170.10 ,9.14 ,0.99 ,1,1,1,0,1,2,1,1,1,6.98 ,-95.80 
129,2,7.68 ,170.10 ,9.14 ,0.99 ,1,1,1,0,1,2,1,1,1,6.74 ,-87.80 
232,2,13.26 ,685.60 ,9.76 ,1.15 ,2,1,1,0,1,2,1,1,2,8.94 ,7.30 
232,2,13.26 ,685.60 ,9.76 ,1.15 ,2,1,1,0,1,2,1,1,2,8.74 ,13.04 
135,2,13.26 ,685.60 ,9.76 ,1.15 ,2,1,2,0,1,2,1,1,2,9.98 ,-119.45 
154,2,13.26 ,685.60 ,9.76 ,1.15 ,2,1,2,0,1,2,1,1,2,9.43 ,-84.63 
232,2,13.84 ,512.30 ,8.52 ,1.07 ,2,1,1,0,1,2,1,1,2,9.12 ,2.15 
232,2,13.84 ,512.30 ,8.52 ,1.07 ,2,1,1,0,1,2,1,1,2,9.13 ,1.98 
75,2,13.50 ,636.67 ,6.91 ,1.31 ,1,1,1,0,1,2,1,1,2,6.01 ,-47.18 
150,2,13.50 ,636.67 ,6.91 ,1.31 ,1,1,1,0,1,2,1,1,2,6.48 ,14.27 
225,2,13.50 ,636.67 ,6.91 ,1.31 ,1,1,1,0,1,2,1,1,2,6.60 ,85.84 
300,2,13.50 ,636.67 ,6.91 ,1.31 ,1,1,1,0,1,2,1,1,2,6.51 ,163.41 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,1,0,1,2,1,1,2,5.24 ,117.58 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.28 ,116.44 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,2,1,2,5.69 ,105.38 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,2,1,2,5.35 ,114.57 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.54 ,109.53 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.57 ,108.67 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.54 ,109.65 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,2,1,2,5.70 ,105.18 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.41 ,113.04 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.61 ,107.62 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.37 ,114.12 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.36 ,114.32 
225,2,14.86 ,825.80 ,18.88 ,1.12 ,2,1,2,0,1,2,1,1,2,5.62 ,107.29 
135,2,13.00 ,580.00 ,8.38 ,0.98 ,1,1,1,0,1,2,1,1,2,1.69 ,139.55 
135,2,13.00 ,580.00 ,8.76 ,1.03 ,1,1,1,0,1,2,1,1,2,3.24 ,98.41 
135,2,13.00 ,580.00 ,10.31 ,1.09 ,1,1,1,0,1,2,1,1,2,5.68 ,33.42 
135,2,13.00 ,580.00 ,10.31 ,1.08 ,1,1,1,0,1,2,1,1,2,5.25 ,44.87 
135,2,13.00 ,580.00 ,8.38 ,0.98 ,1,1,1,0,1,2,1,1,2,1.09 ,155.58 
135,2,13.00 ,580.00 ,8.76 ,1.03 ,1,1,1,0,1,2,1,1,2,2.11 ,128.45 
135,2,13.00 ,580.00 ,10.31 ,1.09 ,1,1,1,0,1,2,1,1,2,2.37 ,121.67 
135,2,13.00 ,580.00 ,10.31 ,1.08 ,1,1,1,0,1,2,1,1,2,2.44 ,119.60 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,1,1,2,7.62 ,22.45 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,1,1,2,7.08 ,37.89 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,2,1,2,7.43 ,28.02 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,2,1,2,8.40 ,0.14 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,2,1,2,7.73 ,19.44 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,2,1,2,8.49 ,-2.43 
210,2,13.26 ,685.60 ,8.43 ,0.96 ,2,1,2,0,1,2,1,1,2,5.48 ,83.79 
180,2,14.15 ,603.20 ,10.85 ,0.60 ,2,1,2,0,1,2,1,1,2,7.79 ,14.58 
234,2,14.15 ,603.20 ,10.85 ,0.60 ,2,1,2,0,1,2,1,1,2,8.28 ,53.53 
280,2,14.15 ,603.20 ,10.85 ,0.60 ,2,1,2,0,1,2,1,1,2,8.43 ,86.68 
180,2,14.15 ,603.20 ,10.85 ,0.60 ,2,1,2,0,1,2,2,1,2,7.79 ,25.96 
180,2,14.15 ,603.20 ,10.85 ,0.60 ,2,1,2,0,1,2,2,1,2,8.38 ,-4.51 
180,2,14.15 ,603.20 ,10.85 ,0.60 ,2,1,2,0,1,2,2,1,2,8.60 ,-23.60 
300,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,7.83 ,103.60 
275,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,8.29 ,65.28 
250,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,8.04 ,47.60 
225,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,7.57 ,36.14 
300,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,7.84 ,103.37 
275,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,8.13 ,70.01 
250,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,8.27 ,40.82 
225,2,6.83 ,198.40 ,16.40 ,1.30 ,2,1,2,0,1,2,1,1,1,7.74 ,31.37 
180,2,13.42 ,563.00 ,12.48 ,0.71 ,2,1,1,0,1,2,1,1,2,7.07 ,-2.44 
126,2,13.42 ,563.00 ,12.48 ,0.71 ,2,1,2,0,1,2,1,1,2,6.70 ,-48.74 
180,2,13.42 ,563.00 ,12.48 ,0.71 ,2,1,2,0,1,2,1,1,2,7.49 ,-21.59 
180,2,13.42 ,563.00 ,12.48 ,0.71 ,2,1,2,0,1,2,2,1,2,7.85 ,-28.02 
126,2,13.42 ,563.00 ,12.48 ,0.71 ,2,1,2,0,1,2,2,1,2,7.11 ,-58.43 
180,2,12.33 ,506.00 ,12.63 ,1.22 ,2,1,2,0,1,2,1,1,2,6.61 ,22.74 
240,2,12.33 ,506.00 ,12.63 ,1.22 ,2,1,2,0,1,2,1,1,2,7.01 ,71.21 
180,2,12.33 ,506.00 ,12.63 ,1.22 ,2,1,2,0,1,2,1,1,2,6.25 ,33.04 
240,2,12.33 ,506.00 ,12.63 ,1.22 ,2,1,2,0,1,2,1,1,2,6.72 ,79.51 
102.5,2,6.30 ,394.10 ,6.93 ,0.76 ,2,1,2,0,1,2,1,1,1,3.23 ,-48.65 
102.5,2,6.30 ,394.10 ,6.93 ,0.76 ,2,1,1,0,1,2,1,1,1,2.60 ,-41.65 
152.5,2,6.30 ,394.10 ,6.93 ,0.76 ,2,1,1,0,1,2,1,1,1,2.62 ,-5.85 
100,2,17.40 ,1824.00 ,19.92 ,2.20 ,2,1,2,0,1,2,1,1,2,4.89 ,4.30 
200,2,17.40 ,1824.00 ,19.92 ,2.20 ,2,1,2,0,1,2,1,1,2,5.95 ,75.55 
260,2,17.40 ,1824.00 ,19.92 ,2.20 ,2,1,2,0,1,2,1,1,2,6.08 ,131.95 
100,2,17.40 ,1824.00 ,20.15 ,2.10 ,2,1,2,0,1,2,1,1,2,4.82 ,6.24 
200,2,17.40 ,1824.00 ,20.15 ,2.10 ,2,1,2,0,1,2,1,1,2,6.28 ,66.72 
260,2,17.40 ,1824.00 ,20.15 ,2.10 ,2,1,2,0,1,2,1,1,2,6.00 ,134.29 
100,2,17.40 ,1824.00 ,19.98 ,2.10 ,2,1,2,0,1,2,1,1,2,4.13 ,24.95 
200,2,17.40 ,1824.00 ,19.98 ,2.10 ,2,1,2,0,1,2,1,1,2,4.85 ,105.39 
260,2,17.40 ,1824.00 ,19.98 ,2.10 ,2,1,2,0,1,2,1,1,2,4.94 ,162.98 
100,2,17.40 ,1824.00 ,16.17 ,1.70 ,2,1,2,0,1,2,1,1,2,4.06 ,26.90 
200,2,17.40 ,1824.00 ,16.17 ,1.70 ,2,1,2,0,1,2,1,1,2,5.12 ,98.15 
260,2,17.40 ,1824.00 ,16.17 ,1.70 ,2,1,2,0,1,2,1,1,2,5.29 ,153.35 
100,2,17.40 ,1824.00 ,20.67 ,2.20 ,2,1,2,0,1,2,1,1,2,5.87 ,-22.24 
200,2,17.40 ,1824.00 ,20.67 ,2.20 ,2,1,2,0,1,2,1,1,2,6.89 ,50.21 
260,2,17.40 ,1824.00 ,20.67 ,2.20 ,2,1,2,0,1,2,1,1,2,6.92 ,109.40 
100,2,17.40 ,1824.00 ,24.88 ,2.50 ,2,1,2,0,1,2,1,1,2,5.15 ,-2.74 
200,2,17.40 ,1824.00 ,24.88 ,2.50 ,2,1,2,0,1,2,1,1,2,6.14 ,70.51 
260,2,17.40 ,1824.00 ,24.88 ,2.50 ,2,1,2,0,1,2,1,1,2,5.78 ,140.08 
100,2,17.40 ,1824.00 ,11.32 ,1.40 ,2,1,2,0,1,2,1,1,2,4.71 ,9.19 
200,2,17.40 ,1824.00 ,11.32 ,1.40 ,2,1,2,0,1,2,1,1,2,6.12 ,70.86 
260,2,17.40 ,1824.00 ,11.32 ,1.40 ,2,1,2,0,1,2,1,1,2,6.05 ,132.84 
100,2,17.40 ,1824.00 ,22.86 ,2.70 ,2,1,2,0,1,2,1,1,2,4.03 ,27.50 
200,2,17.40 ,1824.00 ,22.86 ,2.70 ,2,1,2,0,1,2,1,1,2,5.64 ,83.98 
